,country_or_area,commodity_transaction,year,unit,quantity,quantity_footnotes,category
194848,Russian Federation,Crude petroleum - refinery capacity,2014,"Metric tons,  thousand",274314.0,,conventional_crude_oil
194849,Russian Federation,Crude petroleum - refinery capacity,2013,"Metric tons,  thousand",274314.0,,conventional_crude_oil
194850,Russian Federation,Crude petroleum - refinery capacity,2012,"Metric tons,  thousand",274314.0,,conventional_crude_oil
194851,Russian Federation,Crude petroleum - refinery capacity,2011,"Metric tons,  thousand",270868.0,,conventional_crude_oil
194852,Russian Federation,Crude petroleum - refinery capacity,2010,"Metric tons,  thousand",270868.0,,conventional_crude_oil
194853,Russian Federation,Crude petroleum - refinery capacity,2009,"Metric tons,  thousand",270748.0,,conventional_crude_oil
194854,Russian Federation,Crude petroleum - refinery capacity,2008,"Metric tons,  thousand",270748.0,,conventional_crude_oil
194855,Russian Federation,Crude petroleum - refinery capacity,2007,"Metric tons,  thousand",270937.0,,conventional_crude_oil
194856,Russian Federation,Crude petroleum - refinery capacity,2006,"Metric tons,  thousand",266470.0,,conventional_crude_oil
194857,Russian Federation,Crude petroleum - refinery capacity,2005,"Metric tons,  thousand",199790.0,,conventional_crude_oil
194858,Russian Federation,Crude petroleum - refinery capacity,2004,"Metric tons,  thousand",199790.0,,conventional_crude_oil
194859,Russian Federation,Crude petroleum - refinery capacity,2003,"Metric tons,  thousand",212817.0,,conventional_crude_oil
194860,Russian Federation,Crude petroleum - refinery capacity,2002,"Metric tons,  thousand",271261.0,,conventional_crude_oil
194861,Russian Federation,Crude petroleum - refinery capacity,2001,"Metric tons,  thousand",271261.0,,conventional_crude_oil
194862,Russian Federation,Crude petroleum - refinery capacity,2000,"Metric tons,  thousand",271261.0,,conventional_crude_oil
194863,Russian Federation,Crude petroleum - refinery capacity,1999,"Metric tons,  thousand",333050.0,,conventional_crude_oil
194864,Russian Federation,Crude petroleum - refinery capacity,1998,"Metric tons,  thousand",336644.0,,conventional_crude_oil
194865,Russian Federation,Crude petroleum - refinery capacity,1997,"Metric tons,  thousand",342833.0,,conventional_crude_oil
194866,Russian Federation,Crude petroleum - refinery capacity,1996,"Metric tons,  thousand",336045.0,,conventional_crude_oil
194867,Russian Federation,Crude petroleum - refinery capacity,1995,"Metric tons,  thousand",335446.0,,conventional_crude_oil
194868,Russian Federation,Crude petroleum - refinery capacity,1994,"Metric tons,  thousand",325763.0,,conventional_crude_oil
194869,Russian Federation,Crude petroleum - refinery capacity,1993,"Metric tons,  thousand",301062.0,,conventional_crude_oil
194870,Russian Federation,Crude petroleum - refinery capacity,1992,"Metric tons,  thousand",327300.0,,conventional_crude_oil
194871,Saudi Arabia,Crude petroleum - refinery capacity,2014,"Metric tons,  thousand",124489.0,,conventional_crude_oil
194872,Saudi Arabia,Crude petroleum - refinery capacity,2013,"Metric tons,  thousand",125287.0,,conventional_crude_oil
194873,Saudi Arabia,Crude petroleum - refinery capacity,2012,"Metric tons,  thousand",105336.7,,conventional_crude_oil
194874,Saudi Arabia,Crude petroleum - refinery capacity,2011,"Metric tons,  thousand",105336.7,,conventional_crude_oil
194875,Saudi Arabia,Crude petroleum - refinery capacity,2010,"Metric tons,  thousand",103740.6,,conventional_crude_oil
194876,Saudi Arabia,Crude petroleum - refinery capacity,2009,"Metric tons,  thousand",103740.6,,conventional_crude_oil
194877,Saudi Arabia,Crude petroleum - refinery capacity,2008,"Metric tons,  thousand",103740.7,,conventional_crude_oil
194878,Saudi Arabia,Crude petroleum - refinery capacity,2007,"Metric tons,  thousand",106308.5,,conventional_crude_oil
194879,Saudi Arabia,Crude petroleum - refinery capacity,2006,"Metric tons,  thousand",106583.0,,conventional_crude_oil
194880,Saudi Arabia,Crude petroleum - refinery capacity,2005,"Metric tons,  thousand",104362.0,,conventional_crude_oil
194881,Saudi Arabia,Crude petroleum - refinery capacity,2004,"Metric tons,  thousand",103663.0,,conventional_crude_oil
194882,Saudi Arabia,Crude petroleum - refinery capacity,2003,"Metric tons,  thousand",103014.0034,,conventional_crude_oil
194883,Saudi Arabia,Crude petroleum - refinery capacity,2002,"Metric tons,  thousand",91086.0,,conventional_crude_oil
194884,Saudi Arabia,Crude petroleum - refinery capacity,2001,"Metric tons,  thousand",91086.0,,conventional_crude_oil
194885,Saudi Arabia,Crude petroleum - refinery capacity,2000,"Metric tons,  thousand",91086.0,,conventional_crude_oil
194886,Saudi Arabia,Crude petroleum - refinery capacity,1999,"Metric tons,  thousand",90330.0,,conventional_crude_oil
194887,Saudi Arabia,Crude petroleum - refinery capacity,1998,"Metric tons,  thousand",88830.0,,conventional_crude_oil
194888,Saudi Arabia,Crude petroleum - refinery capacity,1997,"Metric tons,  thousand",84498.0,,conventional_crude_oil
194889,Saudi Arabia,Crude petroleum - refinery capacity,1996,"Metric tons,  thousand",83350.0,,conventional_crude_oil
194890,Saudi Arabia,Crude petroleum - refinery capacity,1995,"Metric tons,  thousand",83540.0,,conventional_crude_oil
194891,Saudi Arabia,Crude petroleum - refinery capacity,1994,"Metric tons,  thousand",83540.0,,conventional_crude_oil
194892,Saudi Arabia,Crude petroleum - refinery capacity,1993,"Metric tons,  thousand",80497.0,,conventional_crude_oil
194893,Saudi Arabia,Crude petroleum - refinery capacity,1992,"Metric tons,  thousand",92958.0,,conventional_crude_oil
194894,Saudi Arabia,Crude petroleum - refinery capacity,1991,"Metric tons,  thousand",92958.0,,conventional_crude_oil
194895,Saudi Arabia,Crude petroleum - refinery capacity,1990,"Metric tons,  thousand",92709.0,,conventional_crude_oil
194896,Senegal,Crude petroleum - refinery capacity,2014,"Metric tons,  thousand",1248.4,,conventional_crude_oil
194897,Senegal,Crude petroleum - refinery capacity,2013,"Metric tons,  thousand",1248.4,,conventional_crude_oil
194898,Senegal,Crude petroleum - refinery capacity,2012,"Metric tons,  thousand",1248.4,,conventional_crude_oil
194899,Senegal,Crude petroleum - refinery capacity,2011,"Metric tons,  thousand",1248.4,,conventional_crude_oil
194900,Senegal,Crude petroleum - refinery capacity,2010,"Metric tons,  thousand",1248.4,,conventional_crude_oil
194901,Senegal,Crude petroleum - refinery capacity,2009,"Metric tons,  thousand",1248.4,,conventional_crude_oil
194902,Senegal,Crude petroleum - refinery capacity,2008,"Metric tons,  thousand",1248.4,,conventional_crude_oil
194903,Senegal,Crude petroleum - refinery capacity,2007,"Metric tons,  thousand",1248.0,,conventional_crude_oil
194904,Senegal,Crude petroleum - refinery capacity,2006,"Metric tons,  thousand",1348.0,,conventional_crude_oil
194905,Senegal,Crude petroleum - refinery capacity,2005,"Metric tons,  thousand",1446.0,,conventional_crude_oil
194906,Senegal,Crude petroleum - refinery capacity,2004,"Metric tons,  thousand",1446.0,,conventional_crude_oil
194907,Senegal,Crude petroleum - refinery capacity,2003,"Metric tons,  thousand",1200.0,1.0,conventional_crude_oil
194908,Senegal,Crude petroleum - refinery capacity,2002,"Metric tons,  thousand",1125.0,,conventional_crude_oil
194909,Senegal,Crude petroleum - refinery capacity,2001,"Metric tons,  thousand",1125.0,,conventional_crude_oil
194910,Senegal,Crude petroleum - refinery capacity,2000,"Metric tons,  thousand",1125.0,,conventional_crude_oil
194911,Senegal,Crude petroleum - refinery capacity,1999,"Metric tons,  thousand",1125.0,,conventional_crude_oil
194912,Senegal,Crude petroleum - refinery capacity,1998,"Metric tons,  thousand",1125.0,,conventional_crude_oil
194913,Senegal,Crude petroleum - refinery capacity,1997,"Metric tons,  thousand",1125.0,,conventional_crude_oil
194914,Senegal,Crude petroleum - refinery capacity,1996,"Metric tons,  thousand",1125.0,,conventional_crude_oil
194915,Senegal,Crude petroleum - refinery capacity,1995,"Metric tons,  thousand",1125.0,,conventional_crude_oil
194916,Senegal,Crude petroleum - refinery capacity,1994,"Metric tons,  thousand",1125.0,,conventional_crude_oil
194917,Senegal,Crude petroleum - refinery capacity,1993,"Metric tons,  thousand",1125.0,,conventional_crude_oil
194918,Senegal,Crude petroleum - refinery capacity,1992,"Metric tons,  thousand",1125.0,,conventional_crude_oil
194919,Senegal,Crude petroleum - refinery capacity,1991,"Metric tons,  thousand",1195.0,,conventional_crude_oil
194920,Senegal,Crude petroleum - refinery capacity,1990,"Metric tons,  thousand",1195.0,,conventional_crude_oil
194921,Serbia,Crude petroleum - refinery capacity,2014,"Metric tons,  thousand",10714.5,,conventional_crude_oil
194922,Serbia,Crude petroleum - refinery capacity,2013,"Metric tons,  thousand",10714.5,,conventional_crude_oil
194923,Serbia,Crude petroleum - refinery capacity,2012,"Metric tons,  thousand",10714.5,,conventional_crude_oil
194924,Serbia,Crude petroleum - refinery capacity,2011,"Metric tons,  thousand",10714.5,,conventional_crude_oil
194925,Serbia,Crude petroleum - refinery capacity,2010,"Metric tons,  thousand",10714.5,,conventional_crude_oil
194926,Serbia,Crude petroleum - refinery capacity,2009,"Metric tons,  thousand",10714.5,,conventional_crude_oil
194927,Serbia,Crude petroleum - refinery capacity,2008,"Metric tons,  thousand",10714.5,,conventional_crude_oil
194928,Serbia,Crude petroleum - refinery capacity,2007,"Metric tons,  thousand",10714.5,,conventional_crude_oil
194929,Serbia,Crude petroleum - refinery capacity,2006,"Metric tons,  thousand",10714.5,,conventional_crude_oil
194930,Serbia,Crude petroleum - refinery capacity,2005,"Metric tons,  thousand",10714.5,,conventional_crude_oil
194931,Serbia and Montenegro,Crude petroleum - refinery capacity,2004,"Metric tons,  thousand",7686.0,,conventional_crude_oil
194932,Serbia and Montenegro,Crude petroleum - refinery capacity,2003,"Metric tons,  thousand",7886.0,,conventional_crude_oil
194933,Serbia and Montenegro,Crude petroleum - refinery capacity,2002,"Metric tons,  thousand",7886.0,,conventional_crude_oil
194934,Serbia and Montenegro,Crude petroleum - refinery capacity,2001,"Metric tons,  thousand",7886.0,,conventional_crude_oil
194935,Serbia and Montenegro,Crude petroleum - refinery capacity,2000,"Metric tons,  thousand",7886.0,,conventional_crude_oil
194936,Serbia and Montenegro,Crude petroleum - refinery capacity,1999,"Metric tons,  thousand",8335.0,,conventional_crude_oil
194937,Serbia and Montenegro,Crude petroleum - refinery capacity,1998,"Metric tons,  thousand",8335.0,,conventional_crude_oil
194938,Serbia and Montenegro,Crude petroleum - refinery capacity,1997,"Metric tons,  thousand",8335.0,,conventional_crude_oil
194939,Serbia and Montenegro,Crude petroleum - refinery capacity,1996,"Metric tons,  thousand",8335.0,,conventional_crude_oil
194940,Serbia and Montenegro,Crude petroleum - refinery capacity,1995,"Metric tons,  thousand",8385.0,,conventional_crude_oil
194941,Serbia and Montenegro,Crude petroleum - refinery capacity,1994,"Metric tons,  thousand",8400.0,,conventional_crude_oil
194942,Serbia and Montenegro,Crude petroleum - refinery capacity,1993,"Metric tons,  thousand",8400.0,,conventional_crude_oil
194943,Serbia and Montenegro,Crude petroleum - refinery capacity,1992,"Metric tons,  thousand",8400.0,,conventional_crude_oil
194944,Sierra Leone,Crude petroleum - refinery capacity,2014,"Metric tons,  thousand",498.0,,conventional_crude_oil
194945,Sierra Leone,Crude petroleum - refinery capacity,2013,"Metric tons,  thousand",498.0,,conventional_crude_oil
194946,Sierra Leone,Crude petroleum - refinery capacity,2012,"Metric tons,  thousand",498.0,,conventional_crude_oil
194947,Sierra Leone,Crude petroleum - refinery capacity,2011,"Metric tons,  thousand",498.0,,conventional_crude_oil
194948,Sierra Leone,Crude petroleum - refinery capacity,2010,"Metric tons,  thousand",498.0,,conventional_crude_oil
194949,Sierra Leone,Crude petroleum - refinery capacity,2009,"Metric tons,  thousand",498.0,,conventional_crude_oil
194950,Sierra Leone,Crude petroleum - refinery capacity,2008,"Metric tons,  thousand",498.0,,conventional_crude_oil
194951,Sierra Leone,Crude petroleum - refinery capacity,2007,"Metric tons,  thousand",498.0,,conventional_crude_oil
194952,Sierra Leone,Crude petroleum - refinery capacity,2006,"Metric tons,  thousand",498.0,,conventional_crude_oil
194953,Sierra Leone,Crude petroleum - refinery capacity,2005,"Metric tons,  thousand",498.0,,conventional_crude_oil
194954,Sierra Leone,Crude petroleum - refinery capacity,2004,"Metric tons,  thousand",498.0,,conventional_crude_oil
194955,Sierra Leone,Crude petroleum - refinery capacity,2003,"Metric tons,  thousand",498.0,,conventional_crude_oil
194956,Sierra Leone,Crude petroleum - refinery capacity,2002,"Metric tons,  thousand",498.0,,conventional_crude_oil
194957,Sierra Leone,Crude petroleum - refinery capacity,2001,"Metric tons,  thousand",498.0,,conventional_crude_oil
194958,Sierra Leone,Crude petroleum - refinery capacity,2000,"Metric tons,  thousand",498.0,,conventional_crude_oil
194959,Sierra Leone,Crude petroleum - refinery capacity,1999,"Metric tons,  thousand",498.0,,conventional_crude_oil
194960,Sierra Leone,Crude petroleum - refinery capacity,1998,"Metric tons,  thousand",498.0,,conventional_crude_oil
194961,Sierra Leone,Crude petroleum - refinery capacity,1997,"Metric tons,  thousand",498.0,,conventional_crude_oil
194962,Sierra Leone,Crude petroleum - refinery capacity,1996,"Metric tons,  thousand",498.0,,conventional_crude_oil
194963,Sierra Leone,Crude petroleum - refinery capacity,1995,"Metric tons,  thousand",498.0,,conventional_crude_oil
194964,Sierra Leone,Crude petroleum - refinery capacity,1994,"Metric tons,  thousand",498.0,,conventional_crude_oil
194965,Sierra Leone,Crude petroleum - refinery capacity,1993,"Metric tons,  thousand",498.0,,conventional_crude_oil
194966,Sierra Leone,Crude petroleum - refinery capacity,1992,"Metric tons,  thousand",498.0,,conventional_crude_oil
194967,Sierra Leone,Crude petroleum - refinery capacity,1991,"Metric tons,  thousand",498.0,,conventional_crude_oil
194968,Sierra Leone,Crude petroleum - refinery capacity,1990,"Metric tons,  thousand",498.0,,conventional_crude_oil
194969,Singapore,Crude petroleum - refinery capacity,2014,"Metric tons,  thousand",67057.0,,conventional_crude_oil
194970,Singapore,Crude petroleum - refinery capacity,2013,"Metric tons,  thousand",67057.0,,conventional_crude_oil
194971,Singapore,Crude petroleum - refinery capacity,2012,"Metric tons,  thousand",67681.0,,conventional_crude_oil
194972,Singapore,Crude petroleum - refinery capacity,2011,"Metric tons,  thousand",67681.0,,conventional_crude_oil
194973,Singapore,Crude petroleum - refinery capacity,2010,"Metric tons,  thousand",67681.0,,conventional_crude_oil
194974,Singapore,Crude petroleum - refinery capacity,2009,"Metric tons,  thousand",67681.0,,conventional_crude_oil
194975,Singapore,Crude petroleum - refinery capacity,2008,"Metric tons,  thousand",67079.0,,conventional_crude_oil
194976,Singapore,Crude petroleum - refinery capacity,2007,"Metric tons,  thousand",67079.0,,conventional_crude_oil
194977,Singapore,Crude petroleum - refinery capacity,2006,"Metric tons,  thousand",66710.0,,conventional_crude_oil
194978,Singapore,Crude petroleum - refinery capacity,2005,"Metric tons,  thousand",61240.0,,conventional_crude_oil
194979,Singapore,Crude petroleum - refinery capacity,2004,"Metric tons,  thousand",61938.0,,conventional_crude_oil
194980,Singapore,Crude petroleum - refinery capacity,2003,"Metric tons,  thousand",61689.0,,conventional_crude_oil
194981,Singapore,Crude petroleum - refinery capacity,2002,"Metric tons,  thousand",62837.0,,conventional_crude_oil
194982,Singapore,Crude petroleum - refinery capacity,2001,"Metric tons,  thousand",62837.0,,conventional_crude_oil
194983,Singapore,Crude petroleum - refinery capacity,2000,"Metric tons,  thousand",63386.0,,conventional_crude_oil
194984,Singapore,Crude petroleum - refinery capacity,1999,"Metric tons,  thousand",62637.0,,conventional_crude_oil
194985,Singapore,Crude petroleum - refinery capacity,1998,"Metric tons,  thousand",58495.0,,conventional_crude_oil
194986,Singapore,Crude petroleum - refinery capacity,1997,"Metric tons,  thousand",57746.0,,conventional_crude_oil
194987,Singapore,Crude petroleum - refinery capacity,1996,"Metric tons,  thousand",57746.0,,conventional_crude_oil
194988,Singapore,Crude petroleum - refinery capacity,1995,"Metric tons,  thousand",58395.0,,conventional_crude_oil
194989,Singapore,Crude petroleum - refinery capacity,1994,"Metric tons,  thousand",54452.0,,conventional_crude_oil
194990,Singapore,Crude petroleum - refinery capacity,1993,"Metric tons,  thousand",53000.0,,conventional_crude_oil
194991,Singapore,Crude petroleum - refinery capacity,1992,"Metric tons,  thousand",51250.0,,conventional_crude_oil
194992,Singapore,Crude petroleum - refinery capacity,1991,"Metric tons,  thousand",49000.0,1.0,conventional_crude_oil
194993,Singapore,Crude petroleum - refinery capacity,1990,"Metric tons,  thousand",43821.0,,conventional_crude_oil
194994,Slovakia,Crude petroleum - refinery capacity,2014,"Metric tons,  thousand",5736.0,,conventional_crude_oil
194995,Slovakia,Crude petroleum - refinery capacity,2013,"Metric tons,  thousand",5736.0,,conventional_crude_oil
194996,Slovakia,Crude petroleum - refinery capacity,2012,"Metric tons,  thousand",5736.0,,conventional_crude_oil
194997,Slovakia,Crude petroleum - refinery capacity,2011,"Metric tons,  thousand",5736.0,,conventional_crude_oil
194998,Slovakia,Crude petroleum - refinery capacity,2010,"Metric tons,  thousand",5736.0,,conventional_crude_oil
194999,Slovakia,Crude petroleum - refinery capacity,2009,"Metric tons,  thousand",5735.7,,conventional_crude_oil
195000,Slovakia,Crude petroleum - refinery capacity,2008,"Metric tons,  thousand",5735.7,,conventional_crude_oil
195001,Slovakia,Crude petroleum - refinery capacity,2007,"Metric tons,  thousand",5740.0,,conventional_crude_oil
195002,Slovakia,Crude petroleum - refinery capacity,2006,"Metric tons,  thousand",5740.0,,conventional_crude_oil
195003,Slovakia,Crude petroleum - refinery capacity,2005,"Metric tons,  thousand",5740.0,,conventional_crude_oil
195004,Slovakia,Crude petroleum - refinery capacity,2004,"Metric tons,  thousand",5740.0,,conventional_crude_oil
195005,Slovakia,Crude petroleum - refinery capacity,2003,"Metric tons,  thousand",5740.0,,conventional_crude_oil
195006,Slovakia,Crude petroleum - refinery capacity,2002,"Metric tons,  thousand",5740.0,,conventional_crude_oil
195007,Slovakia,Crude petroleum - refinery capacity,2001,"Metric tons,  thousand",5740.0,,conventional_crude_oil
195008,Slovakia,Crude petroleum - refinery capacity,2000,"Metric tons,  thousand",5740.0,,conventional_crude_oil
195009,Slovakia,Crude petroleum - refinery capacity,1999,"Metric tons,  thousand",5740.0,,conventional_crude_oil
195010,Slovakia,Crude petroleum - refinery capacity,1998,"Metric tons,  thousand",5740.0,,conventional_crude_oil
195011,Slovakia,Crude petroleum - refinery capacity,1997,"Metric tons,  thousand",5740.0,,conventional_crude_oil
195012,Slovakia,Crude petroleum - refinery capacity,1996,"Metric tons,  thousand",5740.0,,conventional_crude_oil
195013,Slovakia,Crude petroleum - refinery capacity,1995,"Metric tons,  thousand",5730.0,,conventional_crude_oil
195014,Slovakia,Crude petroleum - refinery capacity,1994,"Metric tons,  thousand",5730.0,,conventional_crude_oil
195015,Slovakia,Crude petroleum - refinery capacity,1993,"Metric tons,  thousand",5730.0,,conventional_crude_oil
195016,Slovakia,Crude petroleum - refinery capacity,1992,"Metric tons,  thousand",5730.0,,conventional_crude_oil
195017,Slovenia,Crude petroleum - refinery capacity,2014,"Metric tons,  thousand",674.0,,conventional_crude_oil
195018,Slovenia,Crude petroleum - refinery capacity,2013,"Metric tons,  thousand",674.0,,conventional_crude_oil
195019,Slovenia,Crude petroleum - refinery capacity,2012,"Metric tons,  thousand",674.0,,conventional_crude_oil
195020,Slovenia,Crude petroleum - refinery capacity,2011,"Metric tons,  thousand",674.0,,conventional_crude_oil
195021,Slovenia,Crude petroleum - refinery capacity,2010,"Metric tons,  thousand",674.0,,conventional_crude_oil
195022,Slovenia,Crude petroleum - refinery capacity,2009,"Metric tons,  thousand",674.0,,conventional_crude_oil
195023,Slovenia,Crude petroleum - refinery capacity,2008,"Metric tons,  thousand",674.0,,conventional_crude_oil
195024,Slovenia,Crude petroleum - refinery capacity,2007,"Metric tons,  thousand",674.0,,conventional_crude_oil
195025,Slovenia,Crude petroleum - refinery capacity,2006,"Metric tons,  thousand",674.0,,conventional_crude_oil
195026,Slovenia,Crude petroleum - refinery capacity,2005,"Metric tons,  thousand",674.0,,conventional_crude_oil
195027,Slovenia,Crude petroleum - refinery capacity,2004,"Metric tons,  thousand",674.0,,conventional_crude_oil
195028,Slovenia,Crude petroleum - refinery capacity,2003,"Metric tons,  thousand",674.0,1.0,conventional_crude_oil
195029,Slovenia,Crude petroleum - refinery capacity,2002,"Metric tons,  thousand",674.0,1.0,conventional_crude_oil
195030,Slovenia,Crude petroleum - refinery capacity,2001,"Metric tons,  thousand",674.0,1.0,conventional_crude_oil
195031,Slovenia,Crude petroleum - refinery capacity,2000,"Metric tons,  thousand",674.0,1.0,conventional_crude_oil
195032,Slovenia,Crude petroleum - refinery capacity,1999,"Metric tons,  thousand",674.0,1.0,conventional_crude_oil
195033,Slovenia,Crude petroleum - refinery capacity,1998,"Metric tons,  thousand",674.0,1.0,conventional_crude_oil
195034,Slovenia,Crude petroleum - refinery capacity,1997,"Metric tons,  thousand",674.0,,conventional_crude_oil
195035,Slovenia,Crude petroleum - refinery capacity,1996,"Metric tons,  thousand",674.0,1.0,conventional_crude_oil
195036,Slovenia,Crude petroleum - refinery capacity,1995,"Metric tons,  thousand",674.0,1.0,conventional_crude_oil
195037,Slovenia,Crude petroleum - refinery capacity,1994,"Metric tons,  thousand",600.0,,conventional_crude_oil
195038,Slovenia,Crude petroleum - refinery capacity,1993,"Metric tons,  thousand",600.0,,conventional_crude_oil
195039,Slovenia,Crude petroleum - refinery capacity,1992,"Metric tons,  thousand",600.0,,conventional_crude_oil
195040,Somalia,Crude petroleum - refinery capacity,2014,"Metric tons,  thousand",0.0,1.0,conventional_crude_oil
195041,Somalia,Crude petroleum - refinery capacity,2013,"Metric tons,  thousand",0.0,1.0,conventional_crude_oil
195042,Somalia,Crude petroleum - refinery capacity,2012,"Metric tons,  thousand",0.0,1.0,conventional_crude_oil
195043,Somalia,Crude petroleum - refinery capacity,2011,"Metric tons,  thousand",0.0,1.0,conventional_crude_oil
195044,Somalia,Crude petroleum - refinery capacity,2010,"Metric tons,  thousand",0.0,1.0,conventional_crude_oil
195045,Somalia,Crude petroleum - refinery capacity,2009,"Metric tons,  thousand",0.0,1.0,conventional_crude_oil
195046,Somalia,Crude petroleum - refinery capacity,2008,"Metric tons,  thousand",0.0,1.0,conventional_crude_oil
195047,Somalia,Crude petroleum - refinery capacity,2007,"Metric tons,  thousand",496.0,,conventional_crude_oil
195048,Somalia,Crude petroleum - refinery capacity,2006,"Metric tons,  thousand",496.0,,conventional_crude_oil
195049,Somalia,Crude petroleum - refinery capacity,2005,"Metric tons,  thousand",496.0,,conventional_crude_oil
195050,Somalia,Crude petroleum - refinery capacity,2004,"Metric tons,  thousand",496.0,,conventional_crude_oil
195051,Somalia,Crude petroleum - refinery capacity,2003,"Metric tons,  thousand",496.0,,conventional_crude_oil
195052,Somalia,Crude petroleum - refinery capacity,2002,"Metric tons,  thousand",496.0,,conventional_crude_oil
195053,Somalia,Crude petroleum - refinery capacity,2001,"Metric tons,  thousand",498.0,,conventional_crude_oil
195054,Somalia,Crude petroleum - refinery capacity,2000,"Metric tons,  thousand",498.0,,conventional_crude_oil
195055,Somalia,Crude petroleum - refinery capacity,1999,"Metric tons,  thousand",498.0,,conventional_crude_oil
195056,Somalia,Crude petroleum - refinery capacity,1998,"Metric tons,  thousand",498.0,,conventional_crude_oil
195057,Somalia,Crude petroleum - refinery capacity,1997,"Metric tons,  thousand",498.0,,conventional_crude_oil
195058,Somalia,Crude petroleum - refinery capacity,1996,"Metric tons,  thousand",498.0,,conventional_crude_oil
195059,Somalia,Crude petroleum - refinery capacity,1995,"Metric tons,  thousand",498.0,,conventional_crude_oil
195060,Somalia,Crude petroleum - refinery capacity,1994,"Metric tons,  thousand",498.0,,conventional_crude_oil
195061,Somalia,Crude petroleum - refinery capacity,1993,"Metric tons,  thousand",498.0,,conventional_crude_oil
195062,Somalia,Crude petroleum - refinery capacity,1992,"Metric tons,  thousand",498.0,,conventional_crude_oil
195063,Somalia,Crude petroleum - refinery capacity,1991,"Metric tons,  thousand",498.0,,conventional_crude_oil
195064,Somalia,Crude petroleum - refinery capacity,1990,"Metric tons,  thousand",498.0,,conventional_crude_oil
195065,South Africa,Crude petroleum - refinery capacity,2014,"Metric tons,  thousand",25087.0,,conventional_crude_oil
195066,South Africa,Crude petroleum - refinery capacity,2013,"Metric tons,  thousand",24190.0,,conventional_crude_oil
195067,South Africa,Crude petroleum - refinery capacity,2012,"Metric tons,  thousand",24167.0,,conventional_crude_oil
195068,South Africa,Crude petroleum - refinery capacity,2011,"Metric tons,  thousand",24167.0,,conventional_crude_oil
195069,South Africa,Crude petroleum - refinery capacity,2010,"Metric tons,  thousand",24267.0,,conventional_crude_oil
195070,South Africa,Crude petroleum - refinery capacity,2009,"Metric tons,  thousand",24204.0,,conventional_crude_oil
195071,South Africa,Crude petroleum - refinery capacity,2008,"Metric tons,  thousand",24204.0,,conventional_crude_oil
195072,South Africa,Crude petroleum - refinery capacity,2007,"Metric tons,  thousand",24221.0,,conventional_crude_oil
195073,South Africa,Crude petroleum - refinery capacity,2006,"Metric tons,  thousand",24371.0,,conventional_crude_oil
195074,South Africa,Crude petroleum - refinery capacity,2005,"Metric tons,  thousand",24416.0,,conventional_crude_oil
195075,South Africa,Crude petroleum - refinery capacity,2004,"Metric tons,  thousand",24416.0,,conventional_crude_oil
195076,South Africa,Crude petroleum - refinery capacity,2003,"Metric tons,  thousand",22909.0,,conventional_crude_oil
195077,South Africa,Crude petroleum - refinery capacity,2002,"Metric tons,  thousand",24456.0,,conventional_crude_oil
195078,South Africa,Crude petroleum - refinery capacity,2001,"Metric tons,  thousand",23408.0,,conventional_crude_oil
195079,South Africa,Crude petroleum - refinery capacity,2000,"Metric tons,  thousand",23657.0,,conventional_crude_oil
195080,South Africa,Crude petroleum - refinery capacity,1999,"Metric tons,  thousand",23308.0,,conventional_crude_oil
195081,South Africa,Crude petroleum - refinery capacity,1998,"Metric tons,  thousand",23408.0,,conventional_crude_oil
195082,South Africa,Crude petroleum - refinery capacity,1997,"Metric tons,  thousand",23208.0,,conventional_crude_oil
195083,South Africa,Crude petroleum - refinery capacity,1996,"Metric tons,  thousand",20663.0,,conventional_crude_oil
195084,South Africa,Crude petroleum - refinery capacity,1995,"Metric tons,  thousand",20014.0,,conventional_crude_oil
195085,South Africa,Crude petroleum - refinery capacity,1994,"Metric tons,  thousand",20014.0,,conventional_crude_oil
195086,South Africa,Crude petroleum - refinery capacity,1993,"Metric tons,  thousand",20014.0,1.0,conventional_crude_oil
195087,South Africa,Crude petroleum - refinery capacity,1992,"Metric tons,  thousand",21511.0,1.0,conventional_crude_oil
195088,South Africa,Crude petroleum - refinery capacity,1991,"Metric tons,  thousand",21511.0,,conventional_crude_oil
195089,South Africa,Crude petroleum - refinery capacity,1990,"Metric tons,  thousand",21511.0,,conventional_crude_oil
195090,Spain,Crude petroleum - refinery capacity,2014,"Metric tons,  thousand",71197.0,,conventional_crude_oil
195091,Spain,Crude petroleum - refinery capacity,2013,"Metric tons,  thousand",64414.0,,conventional_crude_oil
195092,Spain,Crude petroleum - refinery capacity,2012,"Metric tons,  thousand",63416.46,,conventional_crude_oil
195093,Spain,Crude petroleum - refinery capacity,2011,"Metric tons,  thousand",63416.46,,conventional_crude_oil
195094,Spain,Crude petroleum - refinery capacity,2010,"Metric tons,  thousand",63416.46,,conventional_crude_oil
195095,Spain,Crude petroleum - refinery capacity,2009,"Metric tons,  thousand",63416.46,,conventional_crude_oil
195096,Spain,Crude petroleum - refinery capacity,2008,"Metric tons,  thousand",63416.46,,conventional_crude_oil
195097,Spain,Crude petroleum - refinery capacity,2007,"Metric tons,  thousand",63690.77,,conventional_crude_oil
195098,Spain,Crude petroleum - refinery capacity,2006,"Metric tons,  thousand",63416.46,,conventional_crude_oil
195099,Spain,Crude petroleum - refinery capacity,2005,"Metric tons,  thousand",63416.46,,conventional_crude_oil
